,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B9_G7,427,434,426,,,,0.27,0.341,0.003164027,3,3,1500,0.0003,0.0003,,
B9_G4,411,416,411,,,,0.27,0.341,0.000923754,3,3,1500,0.0003,0.0003,,
B10_G255,200,200,200,,,,0.305,0.321,5.019346173,0.0033,0.0033,0.037645096,0.0003,0.0003,,
B10_G191,427,434,426,,DP213,,0.305,0.321,2.65786036,0.0066,0.0066,0.019933953,0.0003,0.0003,,
B10_G127,411,416,411,,,,0.305,0.321,1.082996213,0.0066,0.0066,0.008122472,0.0003,0.0003,,
B10_G95,427,434,426,,,,0.305,0.321,0.571808601,0.0066,0.0066,0.004288565,0.0003,0.0003,,
B10_G63,411,416,411,,,,0.299,0.321,0.231637016,0.0066,0.0066,0.003474555,0.0003,0.0003,,
B10_G47,427,434,426,,,,0.299,0.321,0.121583332,0.0066,0.0066,0.00182375,0.0003,0.0003,,
B10_G31,411,416,411,,,,0.29,0.326,0.04866923,0.009,0.009,0.000730038,0.0003,0.0003,,
B10_G23,427,434,426,,,,0.28,0.331,0.025238294,0.009,0.009,0.000757149,0.0003,0.0003,,
B10_G20,411,416,411,,,,0.28,0.331,0.018557725,0.018,0.018,0.001670195,0.0003,0.0003,,
B10_G7,427,434,426,,,,0.27,0.341,0.001842784,3,3,1500,0.0003,0.0003,,
B10_G4,411,416,411,,,,0.27,0.341,0.00053801,3,3,1500,0.0003,0.0003,,
B11_G255,200,200,200,,,,0.3,0.321,2.55836043,0.0066,0.0066,0.019187703,0.0003,0.0003,,
B11_G191,427,434,426,,DP213,,0.305,0.321,1.354711259,0.0066,0.0066,0.010160334,0.0003,0.0003,,
B11_G127,411,416,411,,,,0.305,0.321,0.552003102,0.0066,0.0066,0.004140023,0.0003,0.0003,,
B11_G95,427,434,426,,,,0.299,0.321,0.291450808,0.0066,0.0066,0.004371762,0.0003,0.0003,,
B11_G63,411,416,411,,,,0.299,0.321,0.118065372,0.0066,0.0066,0.001770981,0.0003,0.0003,,
B11_G47,427,434,426,,,,0.29,0.326,0.061971016,0.0075,0.0075,0.000929565,0.0003,0.0003,,
B11_G31,411,416,411,,,,0.283,0.326,0.024806704,0.009,0.009,0.000744201,0.0003,0.0003,,
B11_G25,427,434,426,,,,0.283,0.326,0.015454016,0.018,0.018,0.001390861,0.0003,0.0003,,
B11_G20,411,416,411,,,,0.283,0.326,0.009458871,3,3,1500,0.0003,0.0003,,
B11_G7,427,434,426,,,,0.27,0.341,0.000939267,3,3,1500,0.0003,0.0003,,
B11_G4,411,416,411,,,,0.27,0.341,0.000274224,3,3,1500,0.0003,0.0003,,
A0_G255,200,200,200,,,,0.305,0.321,60,0.0024,0.0024,0.45,0.0003,0.0003,,
A0_G191,427,434,426,,DP213,,0.305,0.321,31.77139335,0.0024,0.0024,0.23828545,0.0003,0.0003,,
A0_G127,411,416,411,,,,0.305,0.321,12.94586398,0.0024,0.0024,0.09709398,0.0003,0.0003,,
A0_G95,427,434,426,,,,0.305,0.321,6.835256004,0.0033,0.0033,0.05126442,0.0003,0.0003,,
A0_G63,411,416,411,,,,0.305,0.321,2.768930545,0.0066,0.0066,0.020766979,0.0003,0.0003,,
A0_G47,427,434,426,,,,0.305,0.321,1.453376524,0.0066,0.0066,0.010900324,0.0003,0.0003,,
A0_G31,411,416,411,,,,0.305,0.321,0.581779722,0.0066,0.0066,0.004363348,0.0003,0.0003,,
A0_G23,427,434,426,,,,0.305,0.321,0.301692207,0.0066,0.0066,0.004525383,0.0003,0.0003,,
A0_G15,411,416,411,,,,0.305,0.321,0.117804973,0.0066,0.0066,0.001767075,0.0003,0.0003,,
A0_G7,427,434,426,,,,0.305,0.321,0.022028176,0.009,0.009,0.000660845,0.0003,0.0003,,
A0_G4,411,416,411,,,,0.305,0.321,0.006431242,3,3,1500,0.0003,0.0003,,
A1_G255,200,200,200,,,,0.305,0.321,15,0.0024,0.0024,0.1125,0.0003,0.0003,,
A1_G191,427,434,426,,DP213,,0.305,0.321,7.942848336,0.0024,0.0024,0.059571363,0.0003,0.0003,,
A1_G127,411,416,411,,,,0.305,0.321,3.236465994,0.0066,0.0066,0.024273495,0.0003,0.0003,,
A1_G95,427,434,426,,,,0.305,0.321,1.708814001,0.0066,0.0066,0.012816105,0.0003,0.0003,,
A1_G63,411,416,411,,,,0.305,0.321,0.692232636,0.0066,0.0066,0.005191745,0.0003,0.0003,,
A1_G47,427,434,426,,,,0.305,0.321,0.363344131,0.0066,0.0066,0.005450162,0.0003,0.0003,,
A1_G31,411,416,411,,,,0.305,0.321,0.145444931,0.0066,0.0066,0.002181674,0.0003,0.0003,,
A1_G23,427,434,426,,,,0.305,0.321,0.075423052,0.0075,0.0075,0.001131346,0.0003,0.0003,,
A1_G15,411,416,411,,,,0.305,0.321,0.029451243,0.009,0.009,0.000883537,0.0003,0.0003,,
A1_G7,427,434,426,,,,0.305,0.321,0.005507044,3,3,1500,0.0003,0.0003,,
A1_G4,411,416,411,,,,0.305,0.321,0.00160781,3,3,1500,0.0003,0.0003,,
A2_G255,200,200,200,,,,0.305,0.321,5,0.0033,0.0033,0.0375,0.0003,0.0003,,
A2_G191,427,434,426,,DP213,,0.305,0.321,2.647616112,0.0066,0.0066,0.019857121,0.0003,0.0003,,
A2_G127,411,416,411,,,,0.305,0.321,1.078821998,0.0066,0.0066,0.008091165,0.0003,0.0003,,
A2_G95,427,434,426,,,,0.305,0.321,0.569604667,0.0066,0.0066,0.004272035,0.0003,0.0003,,
A2_G63,411,416,411,,,,0.305,0.321,0.230744212,0.0066,0.0066,0.003461163,0.0003,0.0003,,
A2_G47,427,434,426,,,,0.305,0.321,0.12111471,0.0066,0.0066,0.001816721,0.0003,0.0003,,
A2_G31,411,416,411,,,,0.305,0.321,0.048481644,0.009,0.009,0.000727225,0.0003,0.0003,,
A2_G23,427,434,426,,,,0.305,0.321,0.025141017,0.009,0.009,0.000754231,0.0003,0.0003,,
A2_G20,411,416,411,,,,0.305,0.321,0.018486198,0.018,0.018,0.001663758,0.0003,0.0003,,
A2_G7,427,434,426,,,,0.305,0.321,0.001835681,3,3,1500,0.0003,0.0003,,
A2_G4,411,416,411,,,,0.305,0.321,0.000535937,3,3,1500,0.0003,0.0003,,
