New ,R,G,B,#1,R,G,B,#2,R,G,B,#3,R,G,B,#4,R,G,B,#5,R,G,B,#6,R,G,B,#7,R,G,B,#8,R,G,B,#9,R,G,B,#10,R,G,B
B3_G63,46.4501806405764,46.8251895369802,46.9157820538414,B3_G63,47.28487141,47.13694398,47.22776553,B3_G63,47.28487141,47.13694398,47.22776553,B3_G63,47.28487141,47.13694398,47.22776553,B3_G63,47.28487141,47.13694398,47.22776553,B3_G63,47.28487141,47.13694398,47.22776553,B3_G63,47.08653228,47.32184678,47.26002269,B3_G63,47.08653228,47.32184678,47.26002269,B3_G63,47.08653228,47.32184678,47.26002269,B3_G63,47.08653228,47.32184678,47.26002269,B3_G63,47.08653228,47.32184678,47.26002269
B3_G47,35.6441666614489,35.1068596666835,35.1907617457138,B3_G47,35.16897393,35.15967742,35.06807091,B3_G47,35.16897393,35.15967742,35.06807091,B3_G47,35.16897393,35.15967742,35.06807091,B3_G47,35.16897393,35.15967742,35.06807091,B3_G47,35.16897393,35.15967742,35.06807091,B3_G47,35.21310762,35.29177805,35.17117619,B3_G47,35.21310762,35.29177805,35.17117619,B3_G47,35.21310762,35.29177805,35.17117619,B3_G47,35.21310762,35.29177805,35.17117619,B3_G47,35.21310762,35.29177805,35.17117619
B3_G31,23.078610584176,23.0063517624445,23.1038004944254,B3_G31,23.29588244,23.26107785,23.26831459,B3_G31,23.29588244,23.26107785,23.26831459,B3_G31,23.29588244,23.26107785,23.26831459,B3_G31,23.29588244,23.26107785,23.26831459,B3_G31,23.29588244,23.26107785,23.26831459,B3_G31,23.4667678,23.22018975,23.30701275,B3_G31,23.4667678,23.22018975,23.30701275,B3_G31,23.4667678,23.22018975,23.30701275,B3_G31,23.4667678,23.22018975,23.30701275,B3_G31,23.4667678,23.22018975,23.30701275
B3_G23,17.3127189282355,17.5027917952532,17.3328818654047,B3_G23,17.52633659,17.44218597,17.39753953,B3_G23,17.52633659,17.44218597,17.39753953,B3_G23,17.52633659,17.44218597,17.39753953,B3_G23,17.52633659,17.44218597,17.39753953,B3_G23,17.52633659,17.44218597,17.39753953,B3_G23,17.44896814,17.43950974,17.35020644,B3_G23,17.44896814,17.43950974,17.35020644,B3_G23,17.44896814,17.43950974,17.35020644,B3_G23,17.44896814,17.43950974,17.35020644,B3_G23,17.44896814,17.43950974,17.35020644
B3_G15,11.1013623291268,11.1699219155164,11.0016643801697,B3_G15,11.23205465,11.27667175,11.06912195,B3_G15,11.23205465,11.27667175,11.06912195,B3_G15,11.23205465,11.27667175,11.06912195,B3_G15,11.23205465,11.27667175,11.06912195,B3_G15,11.23205465,11.27667175,11.06912195,B3_G15,11.13573688,11.18166317,11.10323822,B3_G15,11.13573688,11.18166317,11.10323822,B3_G15,11.13573688,11.18166317,11.10323822,B3_G15,11.13573688,11.18166317,11.10323822,B3_G15,11.13573688,11.18166317,11.10323822
B3_G7,5.64458124051461,6.12436967901406,5.89924932106335,B3_G7,5.660110649,6.18047042,5.898713838,B3_G7,5.660110649,6.18047042,5.898713838,B3_G7,5.660110649,6.18047042,5.898713838,B3_G7,5.660110649,6.18047042,5.898713838,B3_G7,5.660110649,6.18047042,5.898713838,B3_G7,5.690535664,6.178013482,5.939081948,B3_G7,5.690535664,6.178013482,5.939081948,B3_G7,5.690535664,6.178013482,5.939081948,B3_G7,5.690535664,6.178013482,5.939081948,B3_G7,5.690535664,6.178013482,5.939081948
B3_G4,4,4.40105308438445,4.08569584055155,B3_G4,4,4.37071187,4.184043555,B3_G4,4,4.37071187,4.184043555,B3_G4,4,4.37071187,4.184043555,B3_G4,4,4.37071187,4.184043555,B3_G4,4,4.37071187,4.184043555,B3_G4,4,4.422536257,4.209731188,B3_G4,4,4.422536257,4.209731188,B3_G4,4,4.422536257,4.209731188,B3_G4,4,4.422536257,4.209731188,B3_G4,4,4.422536257,4.209731188
B4_G255,185.959438579837,186.756333931299,187.248349908359,B4_G255,186.6129943,187.9995161,187.2155865,B4_G255,186.6129943,187.9995161,187.2155865,B4_G255,186.6129943,187.9995161,187.2155865,B4_G255,186.6129943,187.9995161,187.2155865,B4_G255,186.6129943,187.9995161,187.2155865,B4_G255,187.4977692,188.179973,188.4507156,B4_G255,187.4977692,188.179973,188.4507156,B4_G255,187.4977692,188.179973,188.4507156,B4_G255,187.4977692,188.179973,188.4507156,B4_G255,187.4977692,188.179973,188.4507156
B4_G191,139.647027622464,140.856112047815,140.443116589527,B4_G191,140.9610262,141.1316176,141.1416633,B4_G191,140.9610262,141.1316176,141.1416633,B4_G191,140.9610262,141.1316176,141.1416633,B4_G191,140.9610262,141.1316176,141.1416633,B4_G191,140.9610262,141.1316176,141.1416633,B4_G191,139.8736922,140.5463712,140.834653,B4_G191,139.8736922,140.5463712,140.834653,B4_G191,139.8736922,140.5463712,140.834653,B4_G191,139.8736922,140.5463712,140.834653,B4_G191,139.8736922,140.5463712,140.834653
B4_G127,92.6566913652993,93.5956527027316,93.3051785684529,B4_G127,93.48948003,93.10291908,93.75312112,B4_G127,93.48948003,93.10291908,93.75312112,B4_G127,93.48948003,93.10291908,93.75312112,B4_G127,93.48948003,93.10291908,93.75312112,B4_G127,93.48948003,93.10291908,93.75312112,B4_G127,93.45308712,93.19653551,93.96333049,B4_G127,93.45308712,93.19653551,93.96333049,B4_G127,93.45308712,93.19653551,93.96333049,B4_G127,93.45308712,93.19653551,93.96333049,B4_G127,93.45308712,93.19653551,93.96333049
